"route_id,agency_id,""route_short_name"",""route_long_name"",""route_desc"",route_type,""route_url"",""route_color"",""route_text_color"""
"48599,1,""35c"",""Hasselt - Diest / Tessenderlo"",""Hasselt - Tessenderlo/Diest/Diest/Tessenderlo - Hasselt"",3,"""",""005555"",""FFFFFF"""
"48600,1,""39b"",""Tongeren - Visé - Voeren / Fourons"",""Tongeren - Voeren/Fourons/Voeren/Fourons - Tongeren"",3,"""",""BBDD00"",""000000"""
"48601,1,""402"",""Gruitrode - Meeuwen - Peer - Hechtel"",""Gruitrode - Hechtel/Hechtel - Gruitrode"",3,"""",""DD0077"",""FFFFFF"""
"48602,1,""412"",""Rosoux - Jeuk - Waremme"",""Waremme - Waremme/Waremme - Waremme"",3,"""",""0044BB"",""FFFFFF"""
"48604,1,""453"",""Diepenbeek Universiteit - Kortessem"",""Diepenbeek - Vliermaalroot/Vliermaalroot - Diepenbeek"",3,"""",""444411"",""FFFFFF"""
"48605,1,""AL"",""Avondlijn"",,3,"""",""991199"",""FFFFFF"""
"48606,1,""H11"",""Hasselt - Alverberg - Hasselt Station"",,3,"""",""771133"",""FFFFFF"""
"48607,1,""H12"",""Hasselt - Spalbeek - Kermt - Stokrooie - Hasselt"",,3,"""",""0099AA"",""000000"""
"48608,1,""H14"",""Hasselt - Kiewit - Godsheide - Hasselt Station"",,3,"""",""AACCEE"",""000000"""
"48609,1,""H15"",""Hasselt - Godsheide - Rapertingen - Hasselt"",,3,"""",""FFCC11"",""000000"""
"48610,1,""H16"",""Hasselt - Rapertingen - Hasselt Station"",,3,"""",""FFCCAA"",""000000"""
"48611,1,""H17"",""Hasselt-Rapertingen-Alken-St-Lambr. Herk-Hasselt"",,3,"""",""77CCAA"",""000000"""
"48612,1,""H18"",""Hasselt-St.-Lam-Terkoest-Stev-Kuringen-Hasselt"",,3,"""",""C5AA77"",""000000"""
"48613,1,""H19"",""Hasselt - Runkst - Kuringen - Hasselt Station"",,3,"""",""8899AA"",""000000"""
"48614,1,""CP"",""Centrumpendel"",,3,"""",""FFCC11"",""000000"""
